Store,Date,Forecast_Weekly_Sales,Lower_80CI,Upper_80CI,Tier
4,2013-01-04,2100893.8447622876,1981414.754692864,2210287.4413638636,High-Volume
4,2013-01-11,2091979.3070768218,1987612.194046997,2192829.013874538,High-Volume
4,2013-01-18,2117625.815091442,2018156.169265347,2244762.5271871155,High-Volume
5,2012-11-02,364418.58784368035,341310.56445450237,384326.62896244536,Mid-Volume
5,2012-11-09,336035.0652990063,316102.2658027193,358246.46037872223,Mid-Volume
5,2012-11-16,332185.05966949114,309897.7722020571,353335.83822007704,Mid-Volume
5,2012-11-23,526013.7477839144,504629.192841006,547401.9167816463,Mid-Volume
5,2012-11-30,385614.86944502185,364784.3103784688,405785.47444951255,Mid-Volume
5,2012-12-07,389254.9941752359,362125.06740136654,411221.75694822805,Mid-Volume
5,2012-12-14,403872.9471503184,383132.3891896919,424084.4637291532,Mid-Volume
5,2012-12-21,497508.69768931036,473298.19165240665,518918.7799554551,Mid-Volume
5,2012-12-28,346061.97485448077,322848.2547687792,366593.829732857,Mid-Volume
5,2013-01-04,326462.37872708804,303989.27935244027,348882.7782089995,Mid-Volume
5,2013-01-11,302058.4333940939,278308.8849840006,327787.9391107363,Mid-Volume
5,2013-01-18,311682.01073659456,289807.73962738743,333131.82232308923,Mid-Volume
6,2012-11-02,1588048.8893947508,1502243.2709566231,1676491.2983188455,High-Volume
6,2012-11-09,1585483.41467348,1487720.564495924,1684902.854112823,High-Volume
6,2012-11-16,1604454.3995558526,1511947.1609977025,1693030.3339648796,High-Volume
6,2012-11-23,2352266.805790995,2251204.2250005314,2475650.8017462045,High-Volume
6,2012-11-30,1771978.3907407995,1659873.2372236496,1874847.8118133415,High-Volume
6,2012-12-07,1944408.9425744286,1849279.137759085,2069339.1838800916,High-Volume
6,2012-12-14,2177008.220148938,2090976.3212944025,2278991.31446844,High-Volume
6,2012-12-21,2813477.371868728,2709460.6156069776,2935770.7572167343,High-Volume
6,2012-12-28,1597910.0301199222,1480234.8633957217,1744316.5948738575,High-Volume
6,2013-01-04,1466002.8992558336,1360559.8369464944,1604893.1338176632,High-Volume
6,2013-01-11,1421740.0922411934,1309845.3489809886,1553380.9698913945,High-Volume
6,2013-01-18,1384108.6121599101,1272940.509673037,1524740.687174152,High-Volume
7,2012-11-02,521813.517882742,479377.3292798728,560417.3649408506,Mid-Volume
7,2012-11-09,544402.1115301626,500040.8476269444,590442.2872875023,Mid-Volume
7,2012-11-16,521560.58235122776,478417.1839752709,566367.7491071149,Mid-Volume
7,2012-11-23,881129.1775069304,827661.7421815712,929145.1799086747,Mid-Volume
7,2012-11-30,588635.3465451468,531244.152800631,639056.8463718103,Mid-Volume
7,2012-12-07,638686.0771688533,583207.2536503543,695090.6682029511,Mid-Volume
7,2012-12-14,749098.2362071787,688765.8801469227,805419.0572316502,Mid-Volume
7,2012-12-21,1080467.200272166,1022651.1024429101,1144527.9214865866,Mid-Volume
7,2012-12-28,772795.8098242055,714328.1847870001,849180.135961014,Mid-Volume
7,2013-01-04,696400.1319315049,627182.5403491127,762892.7150452627,Mid-Volume
7,2013-01-11,580545.6425611736,528960.2015652931,651638.5142161561,Mid-Volume
7,2013-01-18,554936.8535897891,496930.5322558736,621468.0546194934,Mid-Volume
8,2012-11-02,995636.9728433286,951646.8027989836,1045720.1779240477,High-Volume
8,2012-11-09,979854.0918783849,935106.1187744467,1021759.5829870276,High-Volume
8,2012-11-16,954669.9811354773,908483.1884776102,1008252.0177721687,High-Volume
8,2012-11-23,1330322.6298208442,1283351.87787036,1383951.7718615092,High-Volume
8,2012-11-30,1024757.852869524,972973.4458221046,1083193.6390382391,High-Volume
8,2012-12-07,1140580.4807642056,1089318.7221746095,1186244.798841241,High-Volume
8,2012-12-14,1289966.4109493445,1249638.2311353588,1339260.7266330204,High-Volume
8,2012-12-21,1583139.4304493563,1540511.4360599378,1640801.0115019574,High-Volume
8,2012-12-28,849814.8116312403,803006.3883416475,905069.3190006437,High-Volume
8,2013-01-04,946554.3402100137,895104.4395958516,994601.1147775109,High-Volume
8,2013-01-11,884141.3810756186,836211.61551573,933829.8017144346,High-Volume
8,2013-01-18,897039.469813725,846772.5688796913,951845.0958151958,High-Volume
9,2012-11-02,582774.3730108602,551943.9353402796,615893.8340497292,Mid-Volume
9,2012-11-09,585390.9125648665,551474.4423836422,618580.0697949487,Mid-Volume
9,2012-11-16,582557.8185063438,554317.122355088,614649.7468439562,Mid-Volume
9,2012-11-23,832162.5794268602,797165.6559570798,869769.0317496264,Mid-Volume
9,2012-11-30,642421.9122448433,602568.5107636222,678994.1584126189,Mid-Volume
9,2012-12-07,681916.0671749876,646706.6601957433,717077.1163938788,Mid-Volume
9,2012-12-14,749287.9964193602,715806.3560038087,783501.5986908672,Mid-Volume
9,2012-12-21,937716.6506233315,900578.8475861865,974243.2912660941,Mid-Volume
9,2012-12-28,526351.0346676335,496302.03071841015,560485.4516227306,Mid-Volume
9,2013-01-04,555342.7889200323,523638.43443531246,595131.7849248383,Mid-Volume
9,2013-01-11,521823.7087232002,487845.76716911036,560006.9569454838,Mid-Volume
9,2013-01-18,518073.2197301017,483000.9205408504,552040.3137654334,Mid-Volume
10,2012-11-02,1836238.4992932854,1709965.7768503674,1970680.020980845,High-Volume
10,2012-11-09,1919403.858013902,1814333.6642491675,2043424.4487544505,High-Volume
10,2012-11-16,1928441.7024804028,1792551.2036520105,2052020.7634966725,High-Volume
10,2012-11-23,2937475.19787444,2792852.583905705,3046412.185772751,High-Volume
10,2012-11-30,2217844.559950717,2096914.2903321376,2355004.18248427,High-Volume
10,2012-12-07,2415975.948798409,2275145.826866863,2539207.8584436616,High-Volume
10,2012-12-14,2769809.606405376,2655433.491730073,2894357.844760572,High-Volume
10,2012-12-21,3709171.794594329,3560737.68199351,3840095.0494947187,High-Volume
10,2012-12-28,1753657.6975384518,1581592.7824654765,1922434.7394367584,High-Volume
10,2013-01-04,1716940.3926740128,1583454.2453115317,1843814.9969306036,High-Volume
10,2013-01-11,1720278.3997039706,1578113.5728016195,1855151.411814016,High-Volume
10,2013-01-18,1687672.018069025,1529382.1952627716,1840455.1605711451,High-Volume
11,2012-11-02,1421274.256232669,1338110.6398799764,1515580.6137202315,High-Volume
11,2012-11-09,1362418.2835523624,1264562.1339723032,1432045.4167346393,High-Volume
11,2012-11-16,1362746.9188717648,1269242.0130124702,1440211.1693525924,High-Volume
11,2012-11-23,1840935.452125097,1747555.0710459985,1917210.5239109404,High-Volume
11,2012-11-30,1452398.6237372681,1351500.7145878086,1539982.2804860072,High-Volume
11,2012-12-07,1648815.650596552,1555413.2015019031,1729689.5744059603,High-Volume
11,2012-12-14,1904246.725061642,1803819.83731183,1992456.4263877887,High-Volume
11,2012-12-21,2363097.264866328,2272183.622487604,2472015.124370504,High-Volume
11,2012-12-28,1278174.6176623548,1176468.4828920597,1393036.7323626622,High-Volume
11,2013-01-04,1270620.4206168493,1164503.5969646452,1379634.1680835972,High-Volume
11,2013-01-11,1279853.8070506263,1158583.450647489,1392879.5852636497,High-Volume
11,2013-01-18,1264667.0283157919,1160671.3465522719,1367052.1520547771,High-Volume
12,2012-11-02,994624.7423379277,934420.072605875,1063399.3316878458,Mid-Volume
12,2012-11-09,1011524.7110236726,953673.1877534263,1073982.9608973137,Mid-Volume
12,2012-11-16,946192.0474040854,883627.6521365497,1004623.0972488311,Mid-Volume
12,2012-11-23,1635891.366051875,1562124.16139718,1691328.938482913,Mid-Volume
12,2012-11-30,1108226.2446895952,1039987.5112014818,1171354.6982987453,Mid-Volume
12,2012-12-07,1175371.8627640745,1114230.9520540514,1245487.3863645622,Mid-Volume
12,2012-12-14,1334760.3441680472,1269429.147832488,1402037.2708521446,Mid-Volume
12,2012-12-21,1778832.3179234178,1715385.9786734509,1838165.1525223253,Mid-Volume
12,2012-12-28,979500.9405711725,912255.5247614342,1044512.1935660299,Mid-Volume
12,2013-01-04,957100.8448528288,890059.6017126798,1010650.4642707171,Mid-Volume
12,2013-01-11,862584.3464569817,797165.953907333,929884.2386692313,Mid-Volume
12,2013-01-18,852355.6376316838,780523.590007308,914794.7678554723,Mid-Volume
13,2012-11-02,2041430.8504787302,1916102.0073760957,2138771.9691632832,High-Volume
13,2012-11-09,2125773.2379221586,2006850.9838991226,2241739.595430992,High-Volume
13,2012-11-16,2103167.336264621,1983192.9210171357,2223713.5168116945,High-Volume
13,2012-11-23,2946425.6597839245,2809006.661372023,3059762.8624195415,High-Volume
13,2012-11-30,2252309.6938654124,2133836.354988803,2370621.397549421,High-Volume
13,2012-12-07,2637369.7532724966,2502651.022199773,2765295.884209442,High-Volume
13,2012-12-14,2948200.459420012,2808661.5341633973,3071265.392496214,High-Volume
13,2012-12-21,3771012.6251542587,3650676.3813928617,3912574.0033181687,High-Volume
13,2012-12-28,1886602.9549754919,1737350.5947904075,2045725.2391496818,High-Volume
13,2013-01-04,1936538.1180533534,1768506.5893026344,2088497.0019917898,High-Volume
13,2013-01-11,1873318.5807502763,1722455.2550834145,2041836.72462107,High-Volume
13,2013-01-18,1954367.1788885053,1791929.2201023304,2130512.967054652,High-Volume
14,2012-11-02,1723137.486313899,1491600.166053747,1918509.5321136992,High-Volume
14,2012-11-09,1728705.94338062,1495563.1877999085,1943587.1575974945,High-Volume
14,2012-11-16,1604655.8516152948,1404789.9451510704,1790131.916999552,High-Volume
14,2012-11-23,2541290.265670305,2304024.4520343877,2797466.99959392,High-Volume
14,2012-11-30,1888400.0500358487,1618753.7261737634,2124235.422320196,High-Volume
14,2012-12-07,2230148.2696257913,1957706.1583374674,2449253.3059752122,High-Volume
14,2012-12-14,2389690.8751875646,2154636.329210621,2593112.8675755765,High-Volume
14,2012-12-21,3427537.4225047315,3189950.6223167744,3672013.395132959,High-Volume
14,2012-12-28,1284977.384927544,1047457.0471483001,1490352.163329165,High-Volume
14,2013-01-04,1502733.4176860016,1254256.4266480794,1730705.0263107659,High-Volume
14,2013-01-11,1336182.4265893744,1100999.0182541292,1609946.7742785036,High-Volume
14,2013-01-18,1382367.8196468938,1147938.131795595,1609275.3919003576,High-Volume
15,2012-11-02,584845.3323297744,520791.9626953376,645437.86793405,Mid-Volume
15,2012-11-09,590724.8503350639,531257.4524126591,647149.3372203559,Mid-Volume
15,2012-11-16,577076.9339891048,520075.80918766366,637267.1781084803,Mid-Volume
15,2012-11-23,1080742.227025282,1023913.6615630599,1133647.3014639642,Mid-Volume
15,2012-11-30,715500.100217074,651466.6068698845,777880.8160520092,Mid-Volume
15,2012-12-07,803163.2318428947,743974.8442427549,863937.2401650603,Mid-Volume
15,2012-12-14,933885.9650902936,865812.2158925197,989392.1137121951,Mid-Volume
15,2012-12-21,1304520.7647509642,1236426.3641630693,1360881.915080506,Mid-Volume
15,2012-12-28,532151.1101147344,455257.4155775223,587723.494495185,Mid-Volume
15,2013-01-04,486953.0050759099,411074.0931365611,557882.6877567515,Mid-Volume
15,2013-01-11,450396.19715144316,373614.7023574622,517365.10936816863,Mid-Volume
15,2013-01-18,464639.72373590677,370174.8830873434,547988.7151246929,Mid-Volume
16,2012-11-02,468820.7925262825,437858.43827269046,507534.6714584428,Mid-Volume
16,2012-11-09,472315.89504839416,434539.9608397599,509350.23914455966,Mid-Volume
16,2012-11-16,466403.60159005935,431914.15723655914,500218.6244833159,Mid-Volume
16,2012-11-23,670236.34791382,637597.4556372032,704668.439818915,Mid-Volume
16,2012-11-30,518918.6099815704,483776.47511321807,556844.1045235291,Mid-Volume
16,2012-12-07,573936.5820434042,535105.9496961047,610386.4912002599,Mid-Volume
16,2012-12-14,659919.8588191557,624694.9015632119,694503.4093185785,Mid-Volume
16,2012-12-21,994222.9424366162,954149.267676817,1025277.8290586862,Mid-Volume
16,2012-12-28,604916.9130819092,563696.7498351765,642115.0938195502,Mid-Volume
16,2013-01-04,574505.3007593962,533820.4276028216,612159.6939840344,Mid-Volume
16,2013-01-11,484814.7942313525,444280.48290886707,522190.885388988,Mid-Volume
16,2013-01-18,469931.8536696092,425838.3454065252,503003.93102172395,Mid-Volume
17,2012-11-02,938779.7467269836,886846.715931454,999550.5655193119,Mid-Volume
17,2012-11-09,958240.1137920012,902020.7587786166,1020824.9653784131,Mid-Volume
17,2012-11-16,895366.9454870282,839074.4741227649,965724.5835394703,Mid-Volume
17,2012-11-23,1155487.6360864784,1099698.4630612817,1223262.7249751783,Mid-Volume
17,2012-11-30,1009908.6896445862,943641.3032164082,1078308.245625434,Mid-Volume
17,2012-12-07,1044839.8545093667,990749.4432962431,1116715.7090199308,Mid-Volume
17,2012-12-14,1133697.9346155133,1069010.256866372,1220250.3739992836,Mid-Volume
17,2012-12-21,1382297.6986350678,1306345.4181080088,1475649.9738778353,Mid-Volume
17,2012-12-28,760411.0812783913,686640.4144506635,854240.7273049029,Mid-Volume
17,2013-01-04,1196994.547483284,1104567.472732541,1299645.3422653275,Mid-Volume
17,2013-01-11,870419.1447031909,772674.8344125961,994343.2797663012,Mid-Volume
17,2013-01-18,847068.0848290598,747862.1438415342,977986.7650184907,Mid-Volume
18,2012-11-02,1119063.8589323696,1002785.3479434829,1245934.524877651,Mid-Volume
18,2012-11-09,1110143.7572275654,1001525.6097939541,1229143.1550293963,Mid-Volume
18,2012-11-16,1077410.1202523154,971875.7598061602,1198160.0022454958,Mid-Volume
18,2012-11-23,1682197.7627278361,1560030.5726848308,1825861.7578171662,Mid-Volume
18,2012-11-30,1243513.8320068903,1117502.5363735897,1394089.0362081544,Mid-Volume
18,2012-12-07,1448166.9172391186,1313144.2688018817,1594056.4184930036,Mid-Volume
18,2012-12-14,1621086.646094351,1490622.9618339578,1747678.6448680658,Mid-Volume
18,2012-12-21,2055400.770189485,1916785.261222001,2206594.82559933,Mid-Volume
18,2012-12-28,955882.9916926764,799252.3215424338,1120572.3099714078,Mid-Volume
18,2013-01-04,990271.7170849917,846116.7165870212,1156196.0565068664,Mid-Volume
18,2013-01-11,843501.021482894,678419.1181481723,1009125.4769388069,Mid-Volume
18,2013-01-18,948280.6678470632,787023.9257793272,1124032.387453146,Mid-Volume
19,2012-11-02,1406223.912614368,1314675.6557708676,1505833.8100338916,High-Volume
19,2012-11-09,1455227.0770179115,1358710.7641242656,1570953.9398230352,High-Volume
19,2012-11-16,1346111.334807443,1251835.605660777,1442704.78537905,High-Volume
19,2012-11-23,1953890.9582404858,1849449.94902234,2055740.5411596892,High-Volume
19,2012-11-30,1559353.1376203974,1463793.6684031645,1661109.7031940855,High-Volume
19,2012-12-07,1751852.050343832,1672522.4121200137,1843265.1104169562,High-Volume
19,2012-12-14,1869788.632285384,1764071.4979040662,1999716.4648342014,High-Volume
19,2012-12-21,2613060.872006342,2511669.3759907694,2708255.3753254297,High-Volume
19,2012-12-28,1268960.9494737056,1151663.2299034786,1382799.5040910917,High-Volume
19,2013-01-04,1202000.357204973,1108996.4909915084,1349983.4583631512,High-Volume
19,2013-01-11,1151819.3012864073,1028121.8270358831,1277712.0668931613,High-Volume
19,2013-01-18,1187250.6107048313,1053670.2762164816,1303813.6563320658,High-Volume
20,2012-11-02,2307531.7132646823,2143712.8523271754,2488148.8828670126,High-Volume
20,2012-11-09,2308412.7123305146,2148183.3431445025,2490722.479640687,High-Volume
20,2012-11-16,2222714.6015097345,2070909.0370009453,2391405.297397337,High-Volume
20,2012-11-23,2936887.548711258,2747685.9055505097,3104355.44200814,High-Volume
20,2012-11-30,2499475.9913379103,2329072.11104978,2698848.430222694,High-Volume
20,2012-12-07,2819956.0952720116,2623807.6285568033,3021773.0302550225,High-Volume
20,2012-12-14,2921253.4329318353,2711777.1609530677,3089869.049103646,High-Volume
20,2012-12-21,3839399.541880834,3623967.2908650767,4026313.988180721,High-Volume
20,2012-12-28,1970226.8812058168,1724771.252827804,2147090.4380857274,High-Volume
20,2013-01-04,1988564.3607314893,1781304.1758056462,2189423.1270342604,High-Volume
20,2013-01-11,2011013.9922043353,1781191.5334524796,2265439.1279201764,High-Volume
20,2013-01-18,1926891.250442774,1672440.632878529,2177486.5645626253,High-Volume
21,2012-11-02,671110.7137766645,613309.9350119139,750617.9279766998,Mid-Volume
21,2012-11-09,680951.4951680037,604041.6011621755,744724.4209755734,Mid-Volume
21,2012-11-16,693083.9596006722,624158.296324354,755484.5735358911,Mid-Volume
21,2012-11-23,1180677.2314172823,1109508.7219967835,1252992.1453433244,Mid-Volume
21,2012-11-30,762321.5290124246,683033.6319627133,838774.1002122414,Mid-Volume
21,2012-12-07,874976.0505025922,803388.9675283453,955645.3302422365,Mid-Volume
21,2012-12-14,1065369.3652639661,1007996.1690949243,1136935.4121262215,Mid-Volume
21,2012-12-21,1491286.042197206,1417102.6340981964,1581473.2970913653,Mid-Volume
21,2012-12-28,635304.3247877054,551067.4751908632,710611.0007485105,Mid-Volume
21,2013-01-04,567392.6436327836,500943.23642945924,655048.4602155102,Mid-Volume
21,2013-01-11,582585.5386912096,497693.37841851986,673065.9620989622,Mid-Volume
21,2013-01-18,596144.7138486815,517014.9689182438,696245.760076779,Mid-Volume
22,2012-11-02,1041757.3414022903,965652.7943738948,1122678.1886219226,High-Volume
22,2012-11-09,1059179.2655246789,965903.9201808427,1145793.548369748,High-Volume
22,2012-11-16,1004363.5466476987,930138.8972017876,1085434.2599143842,High-Volume
22,2012-11-23,1573350.0716108805,1486211.7036025987,1658463.9856886284,High-Volume
22,2012-11-30,1233258.7531531113,1155138.8237785902,1320823.3503977796,High-Volume
22,2012-12-07,1371649.978290275,1284410.1267408794,1471462.180658152,High-Volume
22,2012-12-14,1529722.042417605,1429997.578618309,1614760.2744604694,High-Volume
22,2012-12-21,1960981.4198819972,1881445.9950437176,2055856.9728668167,High-Volume
22,2012-12-28,838061.6836230699,730154.8815862658,946453.4932811434,High-Volume
22,2013-01-04,898613.4599528478,805961.0046927847,990142.243803759,High-Volume
22,2013-01-11,838489.2112414154,723660.90643275,955481.3010942512,High-Volume
22,2013-01-18,884975.2756981548,753112.1761619771,1002567.8444554687,High-Volume
23,2012-11-02,1426134.363929384,1281973.851360232,1589164.6282205028,High-Volume
23,2012-11-09,1582793.5511194798,1446004.2584655846,1738490.7627319465,High-Volume
23,2012-11-16,1518909.5264124486,1360154.9443188845,1690861.7185437276,High-Volume
23,2012-11-23,2280179.765589286,2128462.793806739,2446229.1539097545,High-Volume
23,2012-11-30,1827900.5544120006,1650552.9965191544,1998413.8775712596,High-Volume
23,2012-12-07,2100125.90186275,1904838.110762382,2292970.1878447384,High-Volume
23,2012-12-14,2467755.814565052,2288702.5922968355,2656061.1147326184,High-Volume
23,2012-12-21,2956877.140524147,2747030.657711968,3164021.908264008,High-Volume
23,2012-12-28,1437108.3229027744,1236163.5898102706,1652446.855391479,High-Volume
23,2013-01-04,1385873.0016517271,1193542.5496630177,1621299.3263528603,High-Volume
23,2013-01-11,1279271.7825502816,1070301.6632785986,1531690.3330889447,High-Volume
23,2013-01-18,1379177.0091204296,1112004.8579547685,1611112.0871038851,High-Volume
24,2012-11-02,1332304.8599451971,1211054.181911566,1429561.7756952378,High-Volume
24,2012-11-09,1361897.3041287619,1257006.164915978,1470169.555141901,High-Volume
24,2012-11-16,1313860.4167799642,1202340.5286504661,1404449.077751973,High-Volume
24,2012-11-23,1812939.209326721,1707964.462123277,1925355.014819604,High-Volume
24,2012-11-30,1441184.8933494715,1330373.3448800906,1532094.3935516495,High-Volume
24,2012-12-07,1624705.2162877514,1512179.641840235,1737234.1592772447,High-Volume
24,2012-12-14,1700421.1608538395,1590734.0114838555,1799762.2283514403,High-Volume
24,2012-12-21,2400528.3402431803,2286101.974661284,2511102.113480543,High-Volume
24,2012-12-28,1278822.695210786,1159760.0552694523,1387604.2548559129,High-Volume
24,2013-01-04,1238173.7041293252,1126682.3012092956,1355610.331029014,High-Volume
24,2013-01-11,1216809.201200235,1081011.6015242194,1344007.7354435148,High-Volume
24,2013-01-18,1165309.3937768454,1023161.6699635148,1277301.4250154917,High-Volume
25,2012-11-02,730375.232270871,686252.9748801038,778749.2453611747,Mid-Volume
25,2012-11-09,744971.0668771558,689757.7739217186,796071.7695351358,Mid-Volume
25,2012-11-16,751661.5609989587,695277.1314280665,806177.1623030023,Mid-Volume
25,2012-11-23,1148230.880844518,1098529.9857663382,1199368.4785332,Mid-Volume
25,2012-11-30,918434.5079687947,870712.9270547113,975528.4438998019,Mid-Volume
25,2012-12-07,990688.7802615354,933127.8518832884,1039164.5229260622,Mid-Volume
25,2012-12-14,1075592.2955556887,1018220.5680133089,1137622.1668222123,Mid-Volume
25,2012-12-21,1334725.8152308825,1284736.2429663995,1392534.7338208386,Mid-Volume
25,2012-12-28,676671.2413518084,621366.153756998,735614.6400307934,Mid-Volume
25,2013-01-04,615485.782497865,546100.3409270807,677127.4435999219,Mid-Volume
25,2013-01-11,621542.220771776,550011.9464378059,690532.4881536557,Mid-Volume
25,2013-01-18,614387.9076671712,560672.0455099099,704606.0190893487,Mid-Volume
26,2012-11-02,1026264.2962121386,970745.2758595761,1085714.27949469,High-Volume
26,2012-11-09,1043190.2643368386,983913.4480580612,1114112.9585051236,High-Volume
26,2012-11-16,963557.8045054749,898998.4895754611,1029723.3962821126,High-Volume
26,2012-11-23,1341822.168145701,1277368.7979801411,1408544.0783327569,High-Volume
26,2012-11-30,1072928.6325193997,1018024.9700405785,1139948.28699177,High-Volume
26,2012-12-07,1207797.3851942047,1151237.2891115006,1273855.4162399804,High-Volume
26,2012-12-14,1257616.677139897,1192964.2235382784,1317306.3827573864,High-Volume
26,2012-12-21,1624736.4846051522,1556677.202102205,1692877.4756789645,High-Volume
26,2012-12-28,955481.3436680824,899289.3810734692,1016683.5694605366,High-Volume
26,2013-01-04,1005202.0759845198,936979.1728730499,1075318.0320088195,High-Volume
26,2013-01-11,878159.8556790204,802260.1168122584,948961.1289955514,High-Volume
26,2013-01-18,876754.7550688235,814463.1710122627,954216.0647368779,High-Volume
27,2012-11-02,1577340.6062124965,1414897.7475845122,1734889.303301238,High-Volume
27,2012-11-09,1725665.1821175248,1570581.6712222057,1903013.037074135,High-Volume
27,2012-11-16,1609236.8043124555,1439555.6269464777,1779952.0276162878,High-Volume
27,2012-11-23,2513489.9134458634,2364644.834204969,2709557.6745854868,High-Volume
27,2012-11-30,1777059.7701325847,1605731.9889409742,1915217.0370630978,High-Volume
27,2012-12-07,2025852.009715228,1838757.164162525,2178705.12450468,High-Volume
27,2012-12-14,2234165.580466926,2054532.8498893536,2421363.1031033774,High-Volume
27,2012-12-21,2936844.209996224,2795376.8219578057,3114444.1969771786,High-Volume
27,2012-12-28,1377315.4909865577,1202221.766855778,1543370.5293682634,High-Volume
27,2013-01-04,1470367.640828766,1298641.5651429622,1649342.6568584908,High-Volume
27,2013-01-11,1434376.1034183945,1254963.5840976313,1600474.4195572273,High-Volume
27,2013-01-18,1428415.121998752,1273695.3524207545,1601830.5178237127,High-Volume
28,2012-11-02,1502349.2360637966,1368760.327998368,1629313.2404955188,High-Volume
28,2012-11-09,1279014.9974787545,1163079.0463761152,1409138.231669764,High-Volume
28,2012-11-16,1178532.4640821978,1052245.9557141655,1300141.2087620625,High-Volume
28,2012-11-23,1918948.5942220348,1781585.3699362718,2045556.5871226415,High-Volume
28,2012-11-30,1415867.1926481233,1279745.980069862,1556558.46362361,High-Volume
28,2012-12-07,1452213.0642075217,1300533.4236639966,1578556.5900227514,High-Volume
28,2012-12-14,1479738.1604450655,1350683.8644201087,1598517.1400925338,High-Volume
28,2012-12-21,1965340.9566215025,1838307.4177674726,2101993.357627208,High-Volume
28,2012-12-28,1116488.5091761274,971922.5464684209,1256068.6372990878,High-Volume
28,2013-01-04,1403017.9454012793,1265062.1756772047,1569595.2307182504,High-Volume
28,2013-01-11,1097152.3822138072,975594.8507388707,1226872.639774906,High-Volume
28,2013-01-18,1075623.107188729,933887.3770801418,1194324.2859777177,High-Volume
29,2012-11-02,557924.2978766803,507336.13890423183,604778.3848250904,Mid-Volume
29,2012-11-09,531865.7540591233,485218.38362856564,581967.8042389873,Mid-Volume
